t_us	M	HN	HT	HTLT	RAF	RAO	RAS	RE	LAF	LAO	LAS	LE	RWIO	RWFB	RWT	LWIO	LWFB	LWT	TF	TS	TT	P	BS	BT	BF	RT	RFF	RMF	RRF	RLF	LT	LFF	LMF	LRF	LLF	EB	ET	RSS	LSS	
201	2457	2047	2015	1955	2009	2019	2019	2045	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
8535	2457	2047	2015	1955	2009	2019	2019	2045	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
16869	2457	2047	2015	1955	2009	2019	2019	2045	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
25203	2457	2047	2015	1955	2009	2019	2019	2045	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
33537	2457	2047	2015	1955	2009	2019	2019	2045	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
41871	2457	2047	2015	1955	2090	2102	2102	2127	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
50205	2457	2047	2015	1955	2117	2129	2129	2154	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
58539	2457	2047	2015	1955	2145	2157	2157	2182	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
66873	2457	2047	2015	1955	2173	2186	2186	2210	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
75207	2457	2047	2015	1955	2199	2213	2213	2237	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
83541	2457	2047	2015	1955	2227	2241	2241	2265	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
91875	2457	2047	2015	1955	2254	2269	2269	2292	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
100209	2457	2047	2015	1955	2281	2296	2296	2319	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
108543	2457	2047	2015	1955	2307	2323	2323	2346	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
116877	2457	2047	2015	1955	2334	2350	2350	2373	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
125211	2457	2047	2015	1955	2361	2378	2378	2399	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
133545	2457	2047	2015	1955	2387	2404	2404	2425	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
141879	2457	2047	2015	1955	2412	2430	2430	2451	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
150248	2457	2047	2015	1955	2438	2457	2457	2477	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
158582	2457	2047	2015	1955	2464	2483	2483	2503	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
166916	2457	2047	2015	1955	2488	2508	2508	2528	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
175250	2457	2047	2015	1955	2513	2533	2533	2553	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
183584	2457	2047	2015	1955	2538	2558	2558	2578	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
191918	2457	2047	2015	1955	2561	2583	2583	2602	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
200252	2457	2047	2015	1955	2585	2607	2607	2625	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
208586	2457	2047	2015	1955	2609	2631	2631	2649	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
216920	2457	2047	2015	1955	2631	2654	2654	2672	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
225254	2457	2047	2015	1955	2654	2677	2677	2695	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
233588	2457	2047	2015	1955	2677	2700	2700	2718	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
241922	2457	2047	2015	1955	2698	2722	2722	2740	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
250256	2457	2047	2015	1955	2719	2743	2743	2760	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
258590	2457	2047	2015	1955	2739	2764	2764	2781	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
266924	2457	2047	2015	1955	2760	2785	2785	2802	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
275258	2457	2047	2015	1955	2780	2805	2805	2821	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
283592	2457	2047	2015	1955	2799	2825	2825	2841	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
291926	2457	2047	2015	1955	2818	2844	2844	2860	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
300260	2457	2047	2015	1955	2836	2863	2863	2878	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
308594	2457	2047	2015	1955	2854	2881	2881	2896	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
316928	2457	2047	2015	1955	2870	2898	2898	2913	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
325262	2457	2047	2015	1955	2887	2914	2914	2929	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
333596	2457	2047	2015	1955	2903	2931	2931	2946	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
341930	2457	2047	2015	1955	2918	2947	2947	2961	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
350264	2457	2047	2015	1955	2933	2962	2962	2976	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
358598	2457	2047	2015	1955	2947	2976	2976	2990	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
366932	2457	2047	2015	1955	2961	2990	2990	3004	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
375266	2457	2047	2015	1955	2973	3003	3003	3016	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
383600	2457	2047	2015	1955	2985	3015	3015	3029	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
391934	2457	2047	2015	1955	2997	3027	3027	3040	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
400268	2457	2047	2015	1955	3008	3038	3038	3052	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
408602	2457	2047	2015	1955	3018	3049	3049	3062	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
416936	2457	2047	2015	1955	3028	3058	3058	3071	2011	0	1995	2011	1967	1999	1995	1686	2020	1995	1933	1927	2005	2102	1995	2019	2023	2031	1975	1989	1996	1969	1969	1942	2002	2037	2031	0	1996	1996	1996	
