t_us	M	HN	HT	HTLT	RAF	RAO	RAS	RE	LAF	LAO	LAS	LE	RWIO	RWFB	RWT	LWIO	LWFB	LWT	TF	TS	TT	P	BS	BT	BF	RT	RFF	RMF	RRF	RLF	LT	LFF	LMF	LRF	LLF	EB	ET	RSS	LSS	
201	2001	1993	1982	1936	2031	2026	2003	2035	1988	0	2006	1982	1946	1972	1969	1969	1969	2003	1982	1999	1995	1984	1998	2001	2032	1972	1878	1886	1984	1969	1903	1885	1991	2054	2071	0	1987	1956	1966	
8535	2001	1993	1982	1936	2031	2026	2003	2035	1988	0	2006	1982	1946	1972	1969	1969	1969	2003	1982	1999	1995	1984	1998	2001	2032	1972	1878	1886	1984	1969	1903	1885	1991	2054	2071	0	1987	1956	1966	
16869	2001	1993	1982	1936	2031	2026	2003	2035	1988	0	2006	1982	1946	1972	1969	1969	1969	2003	1982	1999	1995	1984	1998	2001	2032	1972	1878	1886	1984	1969	1903	1885	1991	2054	2071	0	1987	1956	1966	
25203	2003	1993	1983	1937	2031	2027	2004	2036	1988	0	2007	1981	1947	1974	1969	1969	1970	2001	1979	2000	1995	1982	1999	2001	2028	1970	1879	1887	1983	1969	1903	1886	1993	2055	2069	0	1984	1955	1965	
33537	2003	1990	1983	1936	2032	2026	2003	2033	1988	0	2006	1979	1946	1973	1968	1972	1970	2001	1979	1998	1992	1983	1999	2001	2047	1971	1880	1888	1984	1969	1904	1887	1991	2056	2070	0	1986	1957	1965	
41871	2003	1991	1983	1936	2032	2026	2003	2035	1988	0	2006	1983	1947	1972	1968	1970	1970	2002	1983	2001	1997	1986	2001	2002	2032	1972	1880	1888	1983	1967	1904	1886	1993	2056	2070	0	1985	1958	1964	
50205	2003	1992	1982	1936	2031	2023	2003	2032	1988	0	2006	1981	1946	1972	1967	1969	1969	2002	1978	1998	1996	1984	1999	2001	2028	1970	1878	1888	1983	1970	1905	1886	1992	2057	2069	0	1985	1957	1965	
58539	2002	1992	1982	1936	2032	2024	2003	2033	1988	0	2007	1982	1948	1973	1968	1969	1971	2003	1982	2000	1993	1984	1999	2002	2028	1971	1879	1889	1984	1967	1903	1885	1994	2057	2071	0	1985	1956	1966	
66873	2003	1993	1984	1937	2031	2026	2003	2037	1988	0	2005	1980	1946	1973	1967	1972	1969	2002	1981	2001	1994	1984	1997	2002	2032	1968	1879	1887	1985	1969	1904	1886	1991	2055	2068	0	1987	1958	1966	
75207	2002	1991	1983	1934	2034	2031	2005	2036	1989	0	2007	1979	1945	1974	1969	1970	1970	2002	1982	2002	1989	1983	1999	2002	2008	1972	1879	1887	1985	1969	1904	1886	1994	2055	2070	0	1985	1956	1967	
83541	2003	1993	1983	1937	2035	2033	2006	2036	1988	0	2008	1983	1947	1971	1967	1969	1970	2003	1982	1996	1996	1983	1999	2001	2042	1969	1879	1887	1984	1968	1904	1885	1994	2056	2069	0	1986	1958	1967	
91875	2003	1993	1982	1936	2043	2033	2012	2034	1989	0	2007	1979	1946	1971	1968	1969	1970	2002	1982	2004	1995	1984	1999	2004	2042	1972	1880	1887	1984	1970	1904	1887	1993	2056	2069	0	1985	1957	1967	
100209	2001	1990	1984	1932	2055	2038	2018	2034	1988	0	2006	1981	1947	1973	1969	1970	1969	2003	1980	1997	1992	1985	1999	2003	2018	1972	1879	1886	1983	1967	1905	1884	1991	2058	2071	0	1987	1957	1967	
108543	2003	1991	1982	1932	2063	2047	2027	2033	1988	0	2007	1979	1946	1974	1968	1971	1971	2004	1982	1997	1984	1984	1997	2003	2028	1971	1881	1888	1985	1969	1904	1886	1995	2056	2068	0	1984	1957	1964	
116877	2003	1993	1982	1929	2073	2052	2038	2031	1988	0	2006	1977	1945	1972	1967	1970	1969	2002	1982	1994	1987	1984	1997	2002	2037	1971	1880	1888	1984	1969	1905	1887	1993	2056	2071	0	1986	1958	1966	
125211	2003	1991	1981	1929	2085	2055	2049	2036	1988	0	2006	1974	1947	1970	1968	1971	1971	2000	1982	1996	1984	1984	1996	2003	2018	1971	1879	1886	1985	1969	1904	1886	1995	2056	2068	0	1987	1958	1967	
133545	2003	1989	1982	1929	2094	2061	2065	2036	1988	0	2006	1976	1946	1968	1966	1971	1969	2003	1982	1995	1986	1982	1995	2006	2018	1971	1879	1888	1983	1969	1905	1886	1992	2055	2070	0	1986	1959	1966	
141879	2003	1991	1983	1930	2108	2065	2081	2035	1988	0	2006	1975	1945	1970	1968	1969	1969	2003	1985	1991	1985	1984	1997	2005	2008	1969	1879	1888	1983	1968	1904	1886	1994	2057	2071	0	1984	1956	1966	
150248	2002	1991	1982	1931	2125	2073	2100	2038	1988	0	2006	1980	1946	1970	1967	1969	1969	2003	1984	1992	1979	1984	1999	2008	2037	1971	1880	1888	1984	1969	1905	1885	1994	2056	2069	0	1985	1958	1966	
158582	2003	1990	1983	1931	2139	2080	2120	2041	1988	0	2006	1981	1945	1970	1966	1969	1969	2003	1988	1991	1980	1982	1999	2011	2042	1972	1879	1887	1984	1969	1904	1887	1993	2057	2071	0	1987	1958	1967	
166916	2003	1991	1983	1937	2156	2089	2138	2042	1987	0	2006	1983	1945	1969	1966	1970	1970	2001	1988	1992	1976	1983	1996	2012	2042	1972	1880	1885	1983	1968	1903	1885	1994	2056	2068	0	1985	1957	1966	
175250	2001	1992	1982	1937	2173	2101	2158	2040	1986	0	2006	1981	1944	1970	1966	1970	1970	2001	1985	1989	1973	1982	1998	2017	2042	1970	1878	1886	1985	1967	1903	1885	1992	2056	2069	0	1987	1956	1967	
183584	2003	1991	1982	1938	2191	2112	2179	2045	1988	0	2005	1979	1947	1968	1967	1969	1970	2002	1985	1989	1973	1981	1997	2021	2052	1969	1879	1887	1984	1968	1903	1887	1992	2056	2069	0	1986	1958	1966	
191918	2003	1991	1982	1940	2211	2121	2202	2052	1988	0	2007	1982	1945	1968	1967	1970	1971	2002	1988	1992	1971	1980	2000	2019	2076	1971	1879	1888	1983	1968	1903	1886	1993	2056	2068	0	1984	1956	1964	
200252	2002	1993	1982	1940	2231	2136	2225	2066	1989	0	2006	1985	1945	1970	1968	1971	1971	2003	1988	1989	1968	1981	1999	2022	2071	1971	1879	1889	1984	1967	1906	1887	1994	2056	2069	0	1987	1958	1967	
208586	2002	1993	1982	1940	2250	2153	2250	2081	1988	0	2007	1986	1946	1968	1966	1972	1971	2003	1983	1989	1966	1979	2001	2022	2066	1970	1878	1887	1983	1967	1903	1885	1991	2055	2069	0	1984	1959	1967	
216920	2004	1994	1983	1940	2269	2173	2272	2099	1988	0	2007	1987	1945	1969	1967	1971	1970	2003	1988	1987	1972	1979	2006	2023	2052	1971	1880	1887	1984	1967	1904	1883	1992	2056	2069	0	1984	1956	1965	
225254	2004	1993	1983	1940	2291	2195	2297	2115	1987	0	2005	1987	1947	1970	1968	1971	1969	2003	1983	1986	1967	1980	2007	2026	2076	1968	1880	1886	1983	1967	1905	1885	1992	2057	2070	0	1985	1958	1965	
233588	2003	1993	1983	1937	2312	2211	2322	2137	1989	0	2005	1987	1947	1969	1966	1971	1971	2003	1987	1981	1964	1980	2008	2024	2071	1972	1878	1887	1985	1967	1903	1886	1991	2056	2071	0	1985	1958	1967	
241922	2003	1993	1982	1935	2331	2228	2346	2151	1989	0	2005	1987	1946	1971	1967	1971	1969	2004	1988	1981	1969	1980	2010	2024	2052	1971	1882	1886	1984	1968	1904	1886	1992	2056	2071	0	1988	1957	1965	
250256	2002	1994	1982	1934	2353	2249	2370	2167	1988	0	2006	1983	1946	1971	1966	1972	1970	2001	1988	1981	1969	1981	2010	2026	2066	1972	1877	1888	1985	1969	1905	1887	1992	2057	2068	0	1986	1958	1967	
258590	2003	1993	1981	1937	2373	2268	2400	2185	1988	0	2007	1985	1946	1970	1966	1970	1970	2001	1988	1980	1968	1979	2010	2026	2062	1971	1880	1888	1985	1968	1902	1887	1993	2057	2071	0	1984	1957	1965	
266924	2003	1994	1984	1940	2393	2285	2423	2203	1988	0	2007	1985	1946	1971	1967	1971	1968	2002	1986	1980	1970	1981	2015	2025	2037	1971	1880	1888	1984	1969	1904	1886	1991	2054	2069	0	1984	1957	1966	
275258	2002	1993	1982	1941	2415	2305	2448	2215	1987	0	2006	1985	1947	1973	1968	1972	1970	2002	1988	1981	1969	1981	2011	2027	2052	1971	1880	1885	1984	1967	1905	1885	1990	2055	2070	0	1987	1957	1967	
283592	2002	1993	1984	1942	2435	2329	2478	2237	1989	0	2005	1983	1946	1972	1968	1971	1970	2001	1986	1983	1970	1981	2013	2026	2047	1971	1880	1889	1985	1968	1903	1885	1990	2058	2070	0	1985	1955	1965	
291926	2001	1993	1984	1943	2454	2348	2500	2258	1989	0	2006	1983	1946	1972	1967	1972	1969	2002	1987	1985	1975	1982	2014	2027	2008	1971	1878	1887	1985	1968	1905	1886	1994	2056	2068	0	1986	1958	1965	
300260	2002	1993	1985	1944	2476	2368	2524	2279	1988	0	2006	1983	1946	1972	1967	1972	1970	2003	1986	1986	1977	1981	2013	2026	1979	1971	1879	1886	1985	1968	1904	1887	1992	2057	2070	0	1986	1957	1967	
308594	2002	1993	1984	1944	2495	2389	2548	2301	1988	0	2006	1980	1948	1972	1967	1971	1970	2002	1986	1989	1981	1984	2012	2026	1989	1971	1881	1887	1982	1969	1903	1884	1994	2056	2068	0	1985	1959	1966	
316928	2003	1993	1983	1944	2516	2407	2568	2323	1988	0	2006	1980	1947	1971	1967	1971	1970	2002	1987	1993	1986	1984	2008	2025	1960	1971	1880	1888	1985	1966	1906	1884	1995	2055	2069	0	1985	1959	1964	
325262	2003	1992	1985	1945	2537	2428	2590	2340	1987	0	2006	1983	1946	1973	1966	1970	1971	2004	1984	1992	1986	1986	2007	2021	1965	1970	1879	1887	1984	1968	1904	1884	1991	2057	2070	0	1985	1957	1966	
333596	2003	1991	1983	1944	2556	2445	2618	2366	1988	0	2005	1983	1947	1971	1967	1970	1970	2002	1988	1995	1988	1986	2007	2019	1960	1972	1879	1886	1984	1969	1905	1885	1991	2054	2070	0	1985	1958	1967	
341930	2004	1993	1983	1943	2575	2460	2637	2382	1988	0	2006	1980	1947	1972	1968	1970	1969	2002	1986	1996	1992	1987	2006	2018	1945	1972	1881	1888	1984	1966	1902	1886	1992	2055	2070	0	1983	1958	1965	
350264	2003	1992	1983	1943	2597	2482	2659	2403	1987	0	2006	1981	1946	1972	1968	1971	1969	2002	1984	2002	1994	1988	2006	2018	1945	1971	1880	1888	1983	1969	1904	1886	1991	2056	2069	0	1987	1958	1967	
358598	2003	1990	1983	1943	2616	2506	2678	2421	1989	0	2006	1983	1947	1973	1968	1970	1971	2002	1985	2001	1974	1988	2005	2019	1950	1972	1878	1887	1984	1968	1904	1884	1992	2057	2071	0	1986	1959	1966	
366932	2003	1987	1984	1942	2633	2523	2697	2442	1988	0	2006	1981	1946	1973	1966	1971	1970	2002	1987	2002	1962	1991	2006	2016	1941	1972	1880	1889	1985	1966	1904	1884	1994	2058	2069	0	1986	1955	1964	
375266	2002	1990	1985	1942	2653	2547	2716	2465	1987	0	2006	1982	1948	1974	1968	1971	1970	2002	1988	2006	1964	1990	2000	2015	1950	1971	1881	1887	1984	1969	1905	1885	1993	2057	2070	0	1985	1959	1967	
383600	2002	1990	1984	1940	2670	2567	2738	2489	1988	0	2007	1979	1948	1974	1968	1971	1970	2000	1987	2009	1965	1993	2001	2010	1941	1970	1879	1887	1983	1966	1904	1886	1992	2054	2069	0	1986	1958	1966	
391934	2003	1991	1983	1938	2690	2585	2754	2507	1990	0	2008	1982	1946	1975	1967	1969	1970	2003	1983	2010	1975	1993	1999	2011	1916	1972	1880	1888	1985	1967	1903	1887	1993	2057	2071	0	1987	1956	1966	
400268	2003	1991	1983	1938	2710	2601	2770	2531	1988	0	2007	1983	1947	1974	1968	1971	1968	2002	1985	2008	1976	1994	1999	2011	1950	1969	1879	1887	1985	1967	1904	1884	1995	2057	2071	0	1986	1959	1967	
408602	2002	1991	1984	1938	2725	2620	2785	2553	1988	0	2006	1981	1948	1974	1968	1971	1969	2000	1987	2009	1979	1996	2001	2009	1950	1970	1879	1887	1984	1968	1903	1886	1992	2057	2069	0	1984	1958	1967	
416936	2003	1991	1983	1937	2740	2634	2800	2573	1989	0	2006	1979	1947	1974	1967	1971	1970	2002	1984	2014	1980	1995	1996	2010	1941	1972	1880	1886	1984	1966	1905	1886	1990	2055	2069	0	1986	1956	1966	
425270	2004	1991	1983	1937	2759	2651	2816	2589	1987	0	2005	1979	1946	1975	1966	1972	1970	2001	1990	2010	1984	1996	1996	2007	1965	1972	1879	1886	1984	1966	1905	1886	1993	2056	2069	0	1985	1957	1965	
433604	2001	1991	1984	1936	2774	2664	2830	2613	1989	0	2007	1982	1946	1974	1969	1972	1970	2001	1986	2015	1984	1995	1998	2004	1999	1971	1879	1888	1985	1967	1903	1886	1992	2055	2071	0	1984	1956	1966	
441938	2002	1989	1985	1937	2791	2681	2846	2632	1987	0	2006	1981	1946	1975	1966	1971	1970	2002	1986	2016	1983	1997	1999	2003	2008	1972	1879	1887	1984	1967	1903	1887	1994	2057	2071	0	1984	1959	1965	
450272	2003	1991	1983	1937	2806	2699	2861	2650	1989	0	2006	1982	1947	1974	1968	1971	1970	2005	1988	2015	1985	1998	1996	2001	2037	1971	1876	1887	1985	1967	1904	1886	1992	2057	2069	0	1985	1958	1964	
458606	2003	1990	1983	1937	2818	2715	2871	2675	1988	0	2008	1980	1948	1976	1968	1971	1969	2002	1985	2017	1986	1997	1997	2001	2018	1971	1879	1888	1985	1968	1904	1886	1992	2056	2070	0	1985	1957	1966	
466940	2004	1990	1983	1934	2833	2726	2883	2689	1987	0	2006	1979	1948	1975	1967	1971	1970	2001	1983	2022	1989	1998	2000	1999	2037	1971	1880	1887	1985	1969	1904	1886	1992	2055	2071	0	1986	1957	1967	
475274	2004	1989	1983	1933	2846	2745	2894	2707	1987	0	2007	1979	1948	1973	1967	1971	1970	2002	1983	2020	1988	1997	1996	1998	2032	1972	1877	1886	1985	1967	1904	1885	1992	2056	2070	0	1986	1959	1966	
483608	2003	1991	1983	1934	2856	2759	2905	2726	1987	0	2006	1980	1948	1975	1968	1971	1969	2003	1983	2022	1992	1998	1999	1998	2037	1972	1880	1888	1985	1966	1903	1885	1993	2057	2071	0	1986	1957	1967	
491942	2003	1990	1984	1933	2870	2775	2915	2740	1986	0	2007	1979	1948	1973	1968	1972	1969	2001	1982	2026	1995	1998	1997	1998	2047	1973	1878	1888	1985	1969	1902	1885	1993	2056	2070	0	1985	1958	1966	
500276	2003	1991	1984	1933	2883	2791	2926	2754	1986	0	2007	1977	1947	1975	1967	1971	1969	2002	1982	2029	1995	1996	1997	1998	2047	1972	1880	1888	1985	1969	1905	1887	1993	2056	2071	0	1985	1958	1965	
508610	2003	1991	1983	1932	2892	2804	2936	2772	1987	0	2006	1980	1947	1976	1967	1971	1970	2002	1979	2023	1998	1996	1997	1998	2037	1972	1880	1888	1985	1968	1904	1886	1994	2056	2071	0	1986	1957	1967	
516944	2002	1992	1983	1932	2902	2814	2945	2786	1986	0	2006	1977	1948	1975	1967	1970	1970	2002	1978	2030	2000	1996	1999	1998	2028	1972	1879	1888	1983	1967	1903	1887	1994	2057	2068	0	1985	1958	1965	
525278	2001	1992	1984	1931	2914	2832	2951	2802	1986	0	2005	1979	1946	1974	1968	1970	1970	2003	1977	2026	2001	1995	1995	1998	2013	1969	1879	1887	1984	1969	1904	1888	1991	2055	2070	0	1986	1959	1967	
533612	2003	1989	1983	1931	2923	2840	2961	2814	1986	0	2005	1977	1948	1974	1967	1971	1970	2003	1977	2028	2003	1995	1995	1995	2018	1971	1881	1886	1984	1968	1905	1884	1993	2055	2070	0	1987	1958	1966	
541946	2003	1991	1983	1932	2932	2849	2965	2831	1987	0	2006	1980	1948	1974	1968	1968	1969	2001	1980	2031	2003	1996	1995	1995	1984	1972	1880	1886	1984	1967	1904	1886	1991	2056	2068	0	1987	1960	1966	
550280	2003	1993	1982	1933	2941	2863	2974	2844	1987	0	2007	1981	1946	1975	1968	1972	1970	2003	1981	2028	2003	1995	1995	1995	2003	1971	1880	1888	1985	1967	1904	1886	1993	2056	2070	0	1985	1957	1967	
558614	2003	1991	1982	1931	2947	2869	2978	2854	1986	0	2007	1981	1948	1975	1969	1970	1971	2001	1980	2028	2001	1996	1992	1995	1984	1968	1879	1887	1983	1967	1904	1885	1993	2054	2070	0	1984	1957	1966	
566948	2002	1991	1983	1930	2954	2876	2985	2862	1987	0	2007	1981	1948	1976	1967	1970	1970	2002	1975	2029	2004	1995	1994	1995	1979	1972	1880	1888	1984	1968	1904	1886	1991	2056	2069	0	1987	1956	1965	
575282	2002	1990	1983	1931	2959	2883	2989	2876	1986	0	2006	1983	1946	1975	1969	1969	1969	2003	1981	2029	2004	1995	1992	1998	1950	1971	1880	1885	1985	1968	1904	1884	1994	2057	2069	0	1986	1956	1964	
583616	2003	1990	1983	1931	2965	2887	2993	2882	1988	0	2006	1983	1948	1975	1968	1969	1971	2003	1982	2028	2004	1995	1992	1996	1945	1971	1879	1887	1984	1967	1904	1885	1994	2056	2068	0	1985	1957	1966	
591950	2002	1990	1982	1931	2970	2896	2997	2892	1986	0	2007	1983	1947	1975	1967	1971	1971	2003	1980	2025	2004	1996	1992	1996	1960	1972	1879	1885	1984	1968	1905	1885	1993	2056	2069	0	1987	1958	1966	
600284	2003	1991	1982	1931	2975	2903	3001	2905	1987	0	2006	1983	1946	1974	1967	1971	1970	2002	1978	2024	2003	1995	1992	1997	1965	1972	1880	1887	1985	1968	1903	1884	1994	2056	2070	0	1984	1957	1965	
608618	2003	1991	1982	1931	2979	2906	3002	2913	1987	0	2006	1983	1947	1975	1968	1971	1971	2003	1981	2025	1999	1995	1994	1998	1965	1970	1881	1889	1984	1966	1902	1886	1994	2056	2070	0	1985	1958	1966	
616952	2004	1990	1982	1930	2983	2912	3004	2922	1988	0	2006	1980	1947	1974	1967	1969	1969	2001	1981	2022	2004	1996	1994	2001	1965	1972	1881	1888	1984	1966	1903	1887	1992	2054	2070	0	1987	1960	1967	
625286	2004	1991	1982	1931	2984	2916	3008	2931	1987	0	2005	1983	1948	1974	1969	1971	1971	2001	1979	2021	2003	1996	1992	2001	1960	1972	1878	1888	1984	1967	1904	1886	1991	2057	2069	0	1987	1958	1966	
633620	2002	1991	1983	1931	2986	2920	3007	2934	1987	0	2007	1980	1948	1975	1968	1970	1968	2002	1982	2017	2001	1996	1993	2001	1960	1970	1880	1888	1983	1967	1905	1885	1994	2055	2071	0	1985	1958	1966	
641954	2003	1991	1984	1930	2987	2925	3007	2943	1987	0	2006	1982	1948	1974	1968	1967	1971	2002	1981	2017	2002	1998	1994	2001	1974	1972	1880	1888	1985	1969	1906	1884	1992	2056	2068	0	1985	1958	1965	
650288	2002	1990	1983	1934	2990	2928	3009	2945	1986	0	2006	1979	1948	1977	1967	1971	1970	2002	1987	2012	2001	1996	1995	2000	1989	1972	1881	1886	1985	1965	1904	1887	1993	2056	2070	0	1984	1958	1967	
658622	2003	1992	1982	1936	2989	2931	3009	2948	1986	0	2007	1982	1947	1974	1968	1971	1969	2005	1989	2019	1997	1997	1998	2001	1974	1971	1880	1888	1986	1968	1904	1887	1993	2053	2069	0	1985	1957	1966	
666956	2004	1989	1983	1934	2989	2932	3008	2953	1987	0	2005	1981	1947	1974	1968	1969	1969	2004	1988	2015	1997	1999	1996	2000	1994	1971	1880	1888	1985	1969	1905	1887	1991	2056	2068	0	1985	1958	1965	
675290	2002	1989	1983	1937	2988	2936	3009	2956	1987	0	2005	1979	1948	1974	1967	1971	1969	2002	1991	2011	1989	1998	1999	2001	2013	1971	1881	1888	1984	1968	1903	1885	1994	2055	2070	0	1985	1957	1966	
683624	2003	1991	1983	1939	2989	2936	3008	2957	1987	0	2007	1983	1947	1976	1966	1970	1970	2001	1989	2009	1989	1999	1999	2002	2013	1971	1881	1887	1985	1966	1905	1886	1994	2056	2069	0	1987	1957	1966	
691958	2004	1991	1982	1937	2990	2940	3009	2955	1986	0	2005	1980	1948	1975	1968	1969	1971	2001	1991	2010	1988	1999	2003	2001	2037	1972	1880	1887	1983	1968	1905	1885	1995	2055	2068	0	1987	1957	1967	
700292	2004	1991	1982	1939	2989	2940	3008	2958	1986	0	2007	1983	1947	1974	1968	1971	1969	2002	1989	2008	1989	2000	2001	2001	2037	1971	1880	1888	1984	1968	1904	1886	1994	2055	2071	0	1987	1958	1967	
708626	2002	1990	1983	1938	2989	2940	3008	2960	1986	0	2005	1982	1947	1974	1967	1969	1971	2001	1993	2006	1996	1998	2001	2003	2032	1971	1879	1887	1984	1968	1903	1887	1994	2057	2067	0	1986	1956	1967	
716960	2003	1990	1983	1937	2988	2940	3008	2958	1987	0	2005	1982	1947	1974	1968	1971	1969	2003	1989	2003	2006	2000	2003	2001	2042	1972	1879	1886	1983	1968	1904	1887	1991	2057	2069	0	1985	1961	1966	
725294	2002	1990	1983	1936	2989	2941	3006	2956	1987	0	2005	1980	1946	1974	1968	1971	1971	2002	1988	2006	2008	1999	2000	2001	2037	1972	1880	1885	1984	1968	1904	1887	1994	2055	2071	0	1987	1958	1966	
733628	2002	1992	1984	1938	2985	2941	3001	2959	1986	0	2007	1984	1946	1974	1968	1970	1969	2002	1991	2005	2018	1998	2002	2003	2023	1969	1881	1888	1985	1967	1904	1885	1991	2056	2070	0	1985	1957	1967	
741962	2003	1991	1983	1938	2983	2941	2997	2955	1986	0	2006	1983	1947	1975	1966	1971	1969	2002	1991	2004	2012	1999	2001	2003	2023	1972	1880	1886	1984	1967	1905	1884	1992	2057	2069	0	1985	1958	1966	
750296	2003	1993	1983	1940	2980	2940	2989	2959	1985	0	2006	1981	1947	1976	1968	1972	1969	2002	1989	2003	2013	1999	1999	2003	2047	1971	1877	1888	1984	1966	1904	1887	1991	2057	2070	0	1987	1959	1966	
758630	2003	1990	1982	1941	2977	2940	2982	2958	1988	0	2005	1981	1947	1977	1966	1971	1971	2001	1993	2000	2012	1999	2001	2005	2023	1973	1881	1886	1985	1968	1904	1885	1992	2055	2071	0	1987	1957	1966	
766964	2002	1993	1983	1940	2971	2934	2975	2958	1988	0	2006	1985	1946	1976	1966	1970	1970	2002	1992	1999	2010	1999	1999	2001	2018	1971	1880	1888	1985	1968	1904	1887	1991	2057	2069	0	1985	1956	1965	
775298	2003	1989	1984	1941	2963	2933	2965	2953	1988	0	2006	1983	1948	1976	1967	1970	1970	2003	1993	1993	2002	1998	1999	2004	2042	1972	1881	1887	1984	1966	1902	1886	1992	2057	2070	0	1983	1959	1967	
783632	2002	1993	1983	1941	2957	2928	2955	2954	1988	0	2006	1989	1947	1975	1967	1971	1970	2002	1993	1993	1998	1998	2000	2007	2032	1972	1880	1887	1984	1967	1905	1886	1991	2056	2071	0	1985	1958	1965	
791966	2003	1991	1982	1940	2950	2927	2944	2953	1988	0	2006	1987	1947	1974	1968	1971	1969	2001	1993	1994	1997	1999	1997	2006	2023	1973	1880	1888	1985	1969	1904	1885	1994	2056	2070	0	1986	1958	1967	
800300	2003	1991	1983	1941	2943	2923	2936	2951	1988	0	2005	1987	1947	1974	1967	1971	1969	2002	1995	1989	1992	1998	1999	2009	2028	1971	1880	1888	1985	1968	1903	1886	1992	2058	2070	0	1984	1957	1967	
808634	2001	1992	1984	1939	2933	2918	2923	2951	1988	0	2006	1986	1947	1975	1967	1971	1968	2003	1994	1991	1994	1999	1999	2007	2023	1971	1878	1886	1985	1966	1904	1885	1995	2055	2068	0	1986	1958	1967	
816968	2004	1992	1984	1941	2922	2914	2909	2946	1988	0	2005	1981	1946	1974	1968	1971	1969	2002	1994	1991	1991	2000	1999	2007	2037	1972	1879	1888	1983	1966	1904	1885	1993	2056	2071	0	1985	1958	1967	
825302	2004	1992	1984	1941	2912	2910	2897	2942	1987	0	2005	1981	1946	1976	1968	1971	1969	2001	1993	1990	1991	1998	1999	2009	2047	1972	1878	1888	1984	1965	1904	1886	1993	2056	2071	0	1986	1958	1967	
833636	2003	1995	1983	1941	2900	2901	2883	2936	1988	0	2006	1981	1947	1976	1968	1971	1971	2002	1993	1986	1992	2000	2001	2009	2032	1972	1878	1888	1985	1966	1904	1885	1994	2056	2070	0	1982	1958	1966	
841970	2002	1991	1982	1939	2888	2896	2870	2931	1988	0	2007	1983	1947	1975	1967	1971	1969	2001	1995	1990	1992	2000	2001	2009	2042	1972	1878	1888	1983	1967	1905	1885	1994	2056	2069	0	1985	1958	1965	
850304	2003	1990	1983	1942	2875	2885	2852	2927	1988	0	2005	1983	1947	1974	1967	1972	1970	2001	1995	1984	1990	1998	2000	2011	2037	1972	1880	1887	1985	1966	1904	1884	1991	2056	2068	0	1986	1957	1966	
858638	2003	1993	1983	1941	2864	2877	2836	2922	1988	0	2007	1981	1947	1977	1968	1970	1971	2002	1996	1989	1992	1999	2003	2009	2042	1972	1880	1886	1984	1967	1903	1886	1994	2055	2068	0	1985	1957	1967	
866972	2003	1993	1982	1941	2848	2871	2819	2914	1986	0	2006	1982	1946	1975	1968	1970	1969	2003	1994	1991	1989	1999	2003	2008	2042	1973	1880	1888	1985	1967	1905	1884	1992	2057	2069	0	1984	1958	1965	
875306	2002	1991	1985	1942	2833	2858	2799	2909	1988	0	2007	1982	1946	1977	1967	1972	1970	2002	1994	1989	1993	1997	2003	2008	2057	1972	1878	1888	1985	1967	1902	1885	1992	2057	2068	0	1986	1956	1965	
883640	2003	1991	1983	1941	2819	2847	2781	2904	1987	0	2005	1980	1948	1976	1969	1969	1970	2002	1994	1991	1992	1998	2003	2008	2057	1972	1878	1886	1984	1968	1904	1885	1991	2058	2071	0	1985	1958	1966	
891974	2003	1993	1984	1940	2803	2832	2764	2898	1988	0	2006	1984	1948	1975	1968	1971	1970	2002	1992	1995	1994	2000	2002	2008	2047	1972	1880	1886	1983	1968	1904	1885	1993	2056	2071	0	1985	1958	1966	
900308	2003	1992	1983	1942	2786	2819	2744	2891	1989	0	2006	1984	1948	1976	1966	1971	1969	2002	1996	1997	1997	1998	2001	2008	2023	1971	1877	1886	1985	1966	1904	1885	1992	2055	2071	0	1986	1958	1966	
908642	2003	1990	1983	1941	2771	2805	2726	2880	1989	0	2006	1979	1947	1976	1968	1971	1970	2002	1993	2002	2001	1999	2001	2004	2032	1971	1880	1886	1984	1966	1904	1886	1994	2055	2073	0	1986	1957	1966	
916976	2004	1990	1983	1942	2750	2785	2706	2873	1988	0	2005	1981	1947	1975	1969	1971	1969	2004	1993	2000	2002	1999	2001	2006	2008	1972	1880	1888	1985	1967	1905	1886	1991	2056	2070	0	1985	1959	1966	
925310	2003	1992	1983	1941	2734	2764	2682	2861	1987	0	2008	1982	1948	1975	1969	1971	1970	2001	1993	2004	2002	1998	2001	2006	2013	1971	1880	1886	1984	1967	1905	1885	1994	2055	2071	0	1987	1957	1966	
933644	2003	1992	1983	1941	2716	2746	2665	2851	1988	0	2006	1984	1946	1976	1967	1971	1969	2001	1990	2003	2003	1998	2001	2002	2018	1973	1879	1889	1985	1967	1904	1886	1992	2056	2070	0	1984	1958	1966	
941978	2003	1991	1984	1941	2695	2728	2643	2843	1989	0	2005	1983	1947	1975	1968	1970	1970	2002	1988	2006	2003	2000	2001	2001	1999	1972	1880	1888	1986	1968	1903	1886	1992	2057	2069	0	1986	1958	1967	
950312	2002	1993	1983	1941	2677	2711	2618	2833	1987	0	2007	1984	1947	1976	1968	1971	1970	2002	1994	2005	2005	2000	2000	2000	1974	1971	1880	1888	1985	1966	1904	1886	1992	2056	2069	0	1985	1959	1966	
