t_us	M	HN	HT	HTLT	RAF	RAO	RAS	RE	LAF	LAO	LAS	LE	RWIO	RWFB	RWT	LWIO	LWFB	LWT	TF	TS	TT	P	BS	BT	BF	RT	RFF	RMF	RRF	RLF	LT	LFF	LMF	LRF	LLF	EB	ET	RSS	LSS	
147	2004	1994	1981	1934	2033	2030	2001	2031	1985	0	2005	1981	1948	1973	1968	1968	1971	2002	1982	1996	1992	1984	2000	1998	2003	1969	1871	1892	1987	1966	1903	1880	1993	2062	2062	0	1982	1957	1967	
8481	2004	1994	1981	1934	2033	2030	2001	2031	1985	0	2005	1981	1948	1973	1968	1968	1971	2002	1982	1996	1992	1984	2000	1998	2003	1969	1871	1892	1987	1966	1903	1880	1993	2062	2062	0	1982	1957	1967	
16815	2004	1994	1981	1934	2033	2030	2001	2031	1985	0	2005	1981	1948	1973	1968	1968	1971	2002	1982	1996	1992	1984	2000	1998	2003	1969	1871	1892	1987	1966	1903	1880	1993	2062	2062	0	1982	1957	1967	
25149	2003	1994	1980	1936	2034	2026	2001	2034	1986	0	2005	1983	1948	1973	1969	1968	1971	2002	1981	1993	1996	1983	1999	2002	1979	1970	1871	1891	1987	1966	1903	1884	1995	2060	2063	0	1982	1959	1966	
33483	2004	1994	1981	1934	2034	2027	2002	2034	1987	0	2006	1979	1949	1972	1969	1969	1969	2002	1978	1995	1994	1984	1999	2001	1974	1972	1873	1893	1988	1965	1903	1883	1995	2063	2062	0	1979	1958	1966	
41817	2003	1993	1981	1934	2033	2027	2002	2032	1987	0	2006	1981	1948	1972	1969	1969	1970	2002	1981	1998	1993	1984	2002	2001	1994	1968	1874	1892	1989	1965	1903	1880	1996	2064	2061	0	1978	1958	1966	
50151	2002	1994	1980	1937	2035	2026	2002	2034	1985	0	2006	1984	1948	1972	1967	1966	1969	2003	1981	1998	1996	1984	2001	2002	1989	1972	1871	1893	1988	1965	1904	1882	1994	2063	2061	0	1981	1958	1966	
58485	2003	1993	1982	1936	2032	2026	2002	2034	1986	0	2006	1982	1948	1972	1966	1968	1970	2003	1982	1998	1996	1982	2001	2001	1989	1972	1873	1893	1987	1966	1904	1883	1995	2060	2061	0	1978	1958	1965	
66819	2004	1993	1980	1935	2034	2027	2002	2034	1987	0	2006	1983	1948	1971	1968	1968	1971	2002	1981	1995	1996	1985	1999	2001	1994	1970	1873	1892	1988	1966	1902	1882	1995	2062	2062	0	1982	1958	1967	
75153	2003	1991	1981	1936	2036	2031	2002	2034	1985	0	2006	1981	1947	1973	1968	1968	1970	2002	1976	1999	1994	1985	2000	1999	2003	1973	1874	1890	1986	1966	1903	1882	1997	2061	2062	0	1981	1958	1965	
