t_us	M	HN	HT	HTLT	RAF	RAO	RAS	RE	LAF	LAO	LAS	LE	RWIO	RWFB	RWT	LWIO	LWFB	LWT	TF	TS	TT	P	BS	BT	BF	RT	RFF	RMF	RRF	RLF	LT	LFF	LMF	LRF	LLF	EB	ET	RSS	LSS	
0	2005	1993	1983	1933	2008	2028	2002	2046	1991	1970	2021	1976	1948	1976	1977	1963	1969	2007	1985	1998	1995	1990	2008	1994	1999	1988	1899	1873	2020	1973	1901	1882	1985	2069	2073	0	1976	1929	1972	
8334	2005	1993	1983	1933	2008	2028	2002	2046	1991	1970	2021	1976	1948	1976	1977	1963	1969	2007	1985	1998	1995	1990	2008	1994	1999	1988	1899	1873	2020	1973	1901	1882	1985	2069	2073	0	1976	1929	1972	
16668	2005	1993	1983	1933	2008	2028	2002	2046	1991	1970	2021	1976	1948	1976	1977	1963	1969	2007	1985	1998	1995	1990	2008	1994	1999	1988	1899	1873	2020	1973	1901	1882	1985	2069	2073	0	1976	1929	1972	
25002	2006	1990	1984	1933	2008	2028	2001	2047	1991	1970	2023	1981	1949	1974	1976	1964	1971	2009	1985	1996	1992	1988	2008	1994	1984	1989	1896	1875	2021	1974	1904	1881	1985	2069	2073	0	1975	1929	1970	
33336	2004	1990	1984	1934	2007	2028	2001	2047	1991	1970	2021	1983	1948	1975	1977	1962	1971	2007	1987	1995	1995	1990	2008	1993	1974	1989	1897	1872	2020	1973	1904	1882	1986	2069	2073	0	1974	1930	1970	
41670	2005	1992	1984	1933	2007	2027	2001	2049	1989	1970	2021	1980	1949	1974	1977	1962	1971	2008	1987	1997	1997	1989	2007	1993	1994	1987	1894	1874	2019	1974	1904	1882	1987	2069	2072	0	1976	1931	1971	
50004	2006	1991	1983	1932	2007	2028	2000	2046	1991	1970	2022	1979	1948	1975	1977	1964	1970	2008	1985	1997	1998	1990	2006	1996	1989	1988	1899	1873	2021	1973	1903	1881	1986	2068	2075	0	1975	1929	1970	
58338	2005	1992	1985	1934	2008	2029	2002	2049	1991	1971	2021	1982	1948	1975	1977	1964	1971	2007	1985	1995	1992	1988	2007	1997	1984	1989	1898	1874	2021	1971	1903	1881	1986	2069	2072	0	1976	1928	1970	
66672	2005	1991	1983	1933	2009	2030	2003	2048	1991	1968	2021	1983	1949	1973	1977	1963	1971	2007	1985	1997	1993	1989	2009	1995	1989	1986	1898	1871	2019	1973	1904	1882	1986	2069	2073	0	1975	1929	1971	
75006	2006	1991	1983	1934	2012	2031	2004	2049	1990	1967	2022	1980	1948	1975	1976	1964	1970	2007	1985	2000	1995	1991	2009	1996	1984	1986	1897	1874	2018	1974	1904	1881	1986	2069	2073	0	1978	1931	1969	
83340	2006	1990	1985	1934	2021	2032	2007	2049	1991	1969	2022	1982	1948	1974	1978	1964	1969	2009	1984	1997	1999	1989	2008	1994	1994	1989	1898	1874	2020	1972	1904	1882	1985	2070	2073	0	1975	1930	1971	
91674	2004	1992	1984	1931	2031	2040	2015	2044	1991	1969	2021	1979	1948	1974	1977	1963	1970	2007	1984	1996	1989	1990	2008	1995	1994	1989	1899	1874	2020	1974	1903	1883	1986	2068	2071	0	1975	1930	1971	
100008	2006	1990	1983	1929	2041	2046	2020	2045	1991	1966	2021	1981	1945	1972	1978	1961	1972	2009	1986	1998	2010	1990	2006	1995	1994	1986	1898	1872	2018	1973	1904	1882	1987	2071	2073	0	1976	1931	1971	
108342	2006	1990	1983	1929	2048	2051	2028	2047	1990	1967	2023	1975	1944	1971	1977	1963	1971	2009	1985	1996	2007	1990	2006	1994	2003	1986	1898	1875	2019	1972	1903	1880	1986	2069	2071	0	1975	1929	1970	
116676	2006	1990	1983	1927	2060	2058	2039	2049	1990	1963	2021	1976	1941	1970	1976	1963	1970	2009	1984	1995	2002	1990	2006	1996	1989	1988	1896	1874	2019	1971	1903	1883	1985	2068	2073	0	1974	1931	1970	
125010	2006	1990	1982	1929	2073	2062	2053	2051	1990	1965	2020	1974	1941	1968	1976	1962	1971	2009	1983	1997	2001	1990	2005	1996	1989	1986	1898	1873	2019	1972	1904	1882	1986	2069	2074	0	1974	1928	1971	
133344	2006	1989	1983	1931	2087	2068	2067	2053	1989	1963	2021	1981	1942	1968	1976	1965	1971	2006	1988	1995	1988	1990	2004	1998	1994	1987	1898	1872	2020	1972	1902	1882	1985	2070	2074	0	1975	1928	1969	
141678	2005	1990	1984	1929	2104	2075	2087	2052	1989	1962	2020	1980	1942	1968	1977	1961	1969	2007	1988	1993	1983	1988	2007	1999	1989	1986	1899	1873	2020	1973	1904	1882	1987	2069	2072	0	1975	1930	1970	
